id,pose_name,type_of_practice,props_required,body_focus,pose_category,benefits,instructions
224,Bow Pose,Vinyasa,None,Hips,Inversion,Strengthens arms,"Lie on back, bend knees, lift hips toward the ceiling."
225,Bow Pose,Yin,Strap,Hips,Supine,Improves posture,"Stand with feet wide apart, bend one knee and extend arms parallel to the floor."
226,Corpse Pose,Ashtanga,Strap,Lower Body,Balancing,Strengthens core,"Start on hands and knees, lift hips up, forming an inverted V-shape."
227,Bow Pose,Ashtanga,Strap,Chest,Inversion,Stretches hamstrings,"Stand with feet wide apart, bend one knee and extend arms parallel to the floor."
228,Bow Pose,Yin,Strap,Full Body,Balancing,Calms the mind,"Lie on back, bend knees, lift hips toward the ceiling."
229,Downward Facing Dog,Vinyasa,Block,Chest,Seated,Improves posture,"Start in a push-up position, keep the body in a straight line from head to heels."
230,Corpse Pose,Yin,None,Back,Backbend,Calms the mind,"Kneel on the mat, arch back, place hands on heels, and lift chest."
231,Bridge Pose,Hatha,Strap,Strength,Supine,Improves posture,"Lie flat on your back, arms at your sides, close your eyes and relax."
232,Low Lunge,Vinyasa,Mat,Back,Inversion,Improves posture,"Start on hands and knees, lift hips up, forming an inverted V-shape."
233,Cat-Cow Pose,Ashtanga,Mat,Chest,Seated,Improves balance,"Stand with feet wide apart, bend one knee and extend arms parallel to the floor."
234,Low Lunge,Restorative,None,Balance,Supine,Reduces stress,"Sit with legs extended, reach forward toward toes, and relax."
235,Plank Pose,Ashtanga,Mat,Chest,Standing,Relieves stress,"Lie on back, bend knees, lift hips toward the ceiling."
236,Downward Facing Dog,Yin,Bolster,Chest,Balancing,Strengthens arms,"Start on hands and knees, lift hips up, forming an inverted V-shape."
237,Triangle Pose,Restorative,Bolster,Back,Supine,Reduces stress,"Start on hands and knees, lift hips up, forming an inverted V-shape."
238,Crow Pose,Hatha,Bolster,Core,Balancing,Calms the mind,"Lie on back, bend knees, lift hips toward the ceiling."
239,Corpse Pose,Ashtanga,None,Lower Body,Supine,Increases energy,"Kneel on the mat, sit back on heels, and stretch arms forward."
240,Seated Forward Bend,Vinyasa,Mat,Flexibility,Balancing,Increases energy,"Lie flat on your back, arms at your sides, close your eyes and relax."
241,Plank Pose,Restorative,Bolster,Chest,Standing,Reduces stress,"Stand on one leg, place foot on inner thigh, balance with hands at heart center."
242,Seated Forward Bend,Ashtanga,None,Strength,Seated,Reduces stress,"Start in a push-up position, keep the body in a straight line from head to heels."
243,Eagle Pose,Vinyasa,None,Balance,Seated,Increases energy,"Stand with feet wide apart, bend one knee and extend arms parallel to the floor."
244,Crow Pose,Restorative,Mat,Lower Body,Seated,Stretches hamstrings,"Kneel on the mat, arch back, place hands on heels, and lift chest."
245,Child's Pose,Vinyasa,Mat,Balance,Backbend,Calms the mind,"Kneel on the mat, arch back, place hands on heels, and lift chest."
246,Plank Pose,Ashtanga,Strap,Full Body,Standing,Strengthens core,"Stand with feet wide apart, bend one knee and extend arms parallel to the floor."
247,Bridge Pose,Hatha,Block,Balance,Seated,Improves balance,"Kneel on the mat, sit back on heels, and stretch arms forward."
248,Cobra Pose,Hatha,Bolster,Hips,Standing,Opens hips,"Stand with feet wide apart, bend one knee and extend arms parallel to the floor."
249,Hero Pose,Restorative,Block,Core,Supine,Improves balance,"Kneel on the mat, sit back on heels, and stretch arms forward."
250,Tree Pose,Ashtanga,Mat,Strength,Standing,Increases energy,"Start on hands and knees, lift hips up, forming an inverted V-shape."
251,Crow Pose,Vinyasa,Bolster,Balance,Standing,Reduces stress,"Stand on one leg, place foot on inner thigh, balance with hands at heart center."
252,Camel Pose,Vinyasa,Block,Back,Backbend,Increases energy,"Stand on one leg, place foot on inner thigh, balance with hands at heart center."
253,Hero Pose,Ashtanga,Bolster,Upper Body,Seated,Stretches hamstrings,"Stand on one leg, place foot on inner thigh, balance with hands at heart center."
254,Hero Pose,Vinyasa,Block,Flexibility,Seated,Calms the mind,"From a plank position, bring one knee forward and extend the opposite leg back."
255,Child's Pose,Restorative,Bolster,Hips,Supine,Relieves stress,"Lie flat on your back, arms at your sides, close your eyes and relax."
256,Seated Forward Bend,Hatha,Bolster,Core,Balancing,Improves posture,"From a plank position, bring one knee forward and extend the opposite leg back."
257,Plank Pose,Yin,Mat,Full Body,Backbend,Opens hips,"Start in a push-up position, keep the body in a straight line from head to heels."
258,Eagle Pose,Vinyasa,Mat,Lower Body,Backbend,Reduces stress,"Start on hands and knees, lift hips up, forming an inverted V-shape."
259,Camel Pose,Yin,Block,Chest,Inversion,Stretches hamstrings,"Start on hands and knees, lift hips up, forming an inverted V-shape."
260,Half Pigeon Pose,Restorative,Strap,Back,Inversion,Opens hips,"Lie flat on your back, arms at your sides, close your eyes and relax."
261,Bridge Pose,Vinyasa,Mat,Back,Standing,Improves balance,"Start on hands and knees, lift hips up, forming an inverted V-shape."
262,Eagle Pose,Yin,Bolster,Core,Standing,Strengthens core,"Lie flat on your back, arms at your sides, close your eyes and relax."
263,Cat-Cow Pose,Ashtanga,None,Chest,Balancing,Relieves stress,"Stand on one leg, place foot on inner thigh, balance with hands at heart center."
264,Camel Pose,Hatha,Bolster,Back,Seated,Calms the mind,"Lie on back, bend knees, lift hips toward the ceiling."
265,Seated Forward Bend,Ashtanga,Bolster,Chest,Balancing,Reduces stress,"Sit with legs extended, reach forward toward toes, and relax."
266,Mountain Pose,Restorative,Mat,Balance,Seated,Improves balance,"Lie on back, bend knees, lift hips toward the ceiling."
267,Corpse Pose,Hatha,None,Upper Body,Inversion,Increases energy,"Stand on one leg, place foot on inner thigh, balance with hands at heart center."
268,Cobra Pose,Restorative,None,Hips,Standing,Improves balance,"Kneel on the mat, arch back, place hands on heels, and lift chest."
269,Triangle Pose,Restorative,None,Balance,Inversion,Improves balance,"Start on hands and knees, lift hips up, forming an inverted V-shape."
270,Bow Pose,Vinyasa,Bolster,Flexibility,Supine,Calms the mind,"From a plank position, bring one knee forward and extend the opposite leg back."
271,Low Lunge,Ashtanga,Mat,Core,Backbend,Strengthens arms,"From a plank position, bring one knee forward and extend the opposite leg back."
272,Triangle Pose,Vinyasa,Bolster,Full Body,Backbend,Strengthens core,"Stand with feet wide apart, bend one knee and extend arms parallel to the floor."
273,Child's Pose,Yin,None,Flexibility,Balancing,Increases energy,"Stand on one leg, place foot on inner thigh, balance with hands at heart center."
274,Low Lunge,Yin,Bolster,Core,Standing,Improves posture,"From a plank position, bring one knee forward and extend the opposite leg back."
275,Bridge Pose,Vinyasa,Block,Flexibility,Backbend,Improves posture,"Stand on one leg, place foot on inner thigh, balance with hands at heart center."
276,Corpse Pose,Vinyasa,Mat,Balance,Balancing,Opens hips,"Stand on one leg, place foot on inner thigh, balance with hands at heart center."
277,Low Lunge,Yin,None,Chest,Balancing,Strengthens arms,"Lie on back, bend knees, lift hips toward the ceiling."
278,Eagle Pose,Hatha,Block,Back,Backbend,Increases energy,"Kneel on the mat, arch back, place hands on heels, and lift chest."
279,Eagle Pose,Yin,Block,Core,Standing,Reduces stress,"Lie flat on your back, arms at your sides, close your eyes and relax."
280,Plank Pose,Vinyasa,Mat,Balance,Backbend,Improves posture,"Start on hands and knees, lift hips up, forming an inverted V-shape."
281,Downward Facing Dog,Ashtanga,Bolster,Upper Body,Standing,Opens hips,"Kneel on the mat, sit back on heels, and stretch arms forward."
282,Hero Pose,Restorative,Bolster,Lower Body,Supine,Strengthens core,"Lie on back, bend knees, lift hips toward the ceiling."
283,Mountain Pose,Vinyasa,Block,Back,Seated,Calms the mind,"Lie flat on your back, arms at your sides, close your eyes and relax."
284,Eagle Pose,Restorative,None,Balance,Backbend,Improves balance,"Kneel on the mat, sit back on heels, and stretch arms forward."
285,Low Lunge,Hatha,Block,Balance,Supine,Strengthens arms,"Lie on back, bend knees, lift hips toward the ceiling."
286,Plank Pose,Ashtanga,None,Strength,Balancing,Reduces stress,"Lie flat on your back, arms at your sides, close your eyes and relax."
287,Low Lunge,Yin,Bolster,Back,Seated,Strengthens core,"Start on hands and knees, lift hips up, forming an inverted V-shape."
288,Mountain Pose,Ashtanga,Mat,Balance,Balancing,Reduces stress,"Kneel on the mat, sit back on heels, and stretch arms forward."
289,Low Lunge,Restorative,Mat,Chest,Standing,Stretches hamstrings,"Sit with legs extended, reach forward toward toes, and relax."
290,Camel Pose,Yin,None,Flexibility,Balancing,Calms the mind,"Kneel on the mat, arch back, place hands on heels, and lift chest."
291,Warrior II,Yin,None,Upper Body,Standing,Improves balance,"Start in a push-up position, keep the body in a straight line from head to heels."
292,Corpse Pose,Restorative,Block,Balance,Balancing,Improves posture,"Stand on one leg, place foot on inner thigh, balance with hands at heart center."
293,Crow Pose,Ashtanga,Strap,Back,Inversion,Strengthens arms,"Start on hands and knees, lift hips up, forming an inverted V-shape."
294,Camel Pose,Restorative,None,Back,Backbend,Improves posture,"From a plank position, bring one knee forward and extend the opposite leg back."
295,Child's Pose,Hatha,None,Hips,Balancing,Improves posture,"Lie flat on your back, arms at your sides, close your eyes and relax."
296,Low Lunge,Yin,Strap,Hips,Inversion,Strengthens arms,"Start in a push-up position, keep the body in a straight line from head to heels."
297,Child's Pose,Hatha,Bolster,Upper Body,Seated,Strengthens core,"Lie flat on your back, arms at your sides, close your eyes and relax."
298,Tree Pose,Ashtanga,Strap,Flexibility,Balancing,Improves balance,"Stand with feet wide apart, bend one knee and extend arms parallel to the floor."
299,Crow Pose,Hatha,None,Hips,Backbend,Relieves stress,"Lie on back, bend knees, lift hips toward the ceiling."
300,Hero Pose,Hatha,Block,Flexibility,Balancing,Calms the mind,"Start in a push-up position, keep the body in a straight line from head to heels."
301,Crow Pose,Hatha,Block,Back,Standing,Increases energy,"Stand on one leg, place foot on inner thigh, balance with hands at heart center."
302,Low Lunge,Vinyasa,Mat,Lower Body,Standing,Strengthens core,"Lie flat on your back, arms at your sides, close your eyes and relax."
303,Tree Pose,Yin,Bolster,Full Body,Balancing,Stretches hamstrings,"Stand with feet wide apart, bend one knee and extend arms parallel to the floor."
304,Cobra Pose,Ashtanga,None,Balance,Backbend,Strengthens arms,"Stand with feet wide apart, bend one knee and extend arms parallel to the floor."
305,Corpse Pose,Restorative,None,Flexibility,Backbend,Improves posture,"Kneel on the mat, sit back on heels, and stretch arms forward."
306,Triangle Pose,Hatha,Block,Strength,Backbend,Strengthens arms,"Lie flat on your back, arms at your sides, close your eyes and relax."
307,Seated Forward Bend,Vinyasa,None,Upper Body,Inversion,Opens hips,"Kneel on the mat, arch back, place hands on heels, and lift chest."
308,Crow Pose,Yin,Mat,Back,Supine,Stretches hamstrings,"Lie on back, bend knees, lift hips toward the ceiling."
309,Chair Pose,Hatha,Bolster,Balance,Supine,Improves posture,"Sit with legs extended, reach forward toward toes, and relax."
310,Warrior II,Vinyasa,None,Flexibility,Inversion,Relieves stress,"Stand on one leg, place foot on inner thigh, balance with hands at heart center."
311,Bridge Pose,Ashtanga,Mat,Hips,Inversion,Calms the mind,"Lie flat on your back, arms at your sides, close your eyes and relax."
312,Hero Pose,Restorative,Strap,Balance,Backbend,Calms the mind,"Stand on one leg, place foot on inner thigh, balance with hands at heart center."
313,Bow Pose,Yin,None,Core,Balancing,Opens hips,"Sit with legs extended, reach forward toward toes, and relax."
314,Warrior II,Yin,Mat,Strength,Balancing,Strengthens arms,"Lie on back, bend knees, lift hips toward the ceiling."
315,Warrior II,Hatha,Bolster,Chest,Backbend,Reduces stress,"Kneel on the mat, sit back on heels, and stretch arms forward."
316,Mountain Pose,Vinyasa,Mat,Full Body,Supine,Improves posture,"Stand on one leg, place foot on inner thigh, balance with hands at heart center."
317,Hero Pose,Vinyasa,Mat,Balance,Inversion,Calms the mind,"From a plank position, bring one knee forward and extend the opposite leg back."
318,Warrior II,Yin,Strap,Upper Body,Standing,Reduces stress,"Lie flat on your back, arms at your sides, close your eyes and relax."
319,Corpse Pose,Restorative,Mat,Hips,Standing,Stretches hamstrings,"Start on hands and knees, lift hips up, forming an inverted V-shape."
320,Low Lunge,Yin,None,Balance,Backbend,Reduces stress,"Stand on one leg, place foot on inner thigh, balance with hands at heart center."
321,Eagle Pose,Vinyasa,Strap,Upper Body,Balancing,Stretches hamstrings,"Lie on back, bend knees, lift hips toward the ceiling."
322,Eagle Pose,Vinyasa,Mat,Back,Seated,Opens hips,"Lie flat on your back, arms at your sides, close your eyes and relax."
323,Child's Pose,Hatha,Mat,Hips,Inversion,Strengthens arms,"Start on hands and knees, lift hips up, forming an inverted V-shape."
324,Half Pigeon Pose,Vinyasa,Strap,Strength,Backbend,Opens hips,"Lie on back, bend knees, lift hips toward the ceiling."
325,Camel Pose,Yin,Bolster,Full Body,Inversion,Improves balance,"Start on hands and knees, lift hips up, forming an inverted V-shape."
326,Crow Pose,Vinyasa,None,Upper Body,Backbend,Reduces stress,"Lie flat on your back, arms at your sides, close your eyes and relax."
327,Eagle Pose,Ashtanga,Strap,Back,Inversion,Strengthens core,"Lie on back, bend knees, lift hips toward the ceiling."
328,Half Pigeon Pose,Yin,Block,Chest,Backbend,Stretches hamstrings,"Kneel on the mat, sit back on heels, and stretch arms forward."
329,Warrior II,Yin,Block,Strength,Seated,Calms the mind,"Stand on one leg, place foot on inner thigh, balance with hands at heart center."
330,Cobra Pose,Ashtanga,Strap,Chest,Standing,Strengthens arms,"Stand on one leg, place foot on inner thigh, balance with hands at heart center."
331,Cobra Pose,Restorative,None,Core,Balancing,Improves balance,"Stand with feet wide apart, bend one knee and extend arms parallel to the floor."
332,Low Lunge,Vinyasa,Block,Strength,Standing,Increases energy,"Start on hands and knees, lift hips up, forming an inverted V-shape."
333,Plank Pose,Yin,Block,Back,Inversion,Increases energy,"Kneel on the mat, sit back on heels, and stretch arms forward."
334,Camel Pose,Hatha,None,Core,Backbend,Improves posture,"Lie flat on your back, arms at your sides, close your eyes and relax."
335,Corpse Pose,Restorative,Block,Chest,Balancing,Strengthens arms,"Stand with feet wide apart, bend one knee and extend arms parallel to the floor."
336,Corpse Pose,Hatha,Mat,Strength,Backbend,Opens hips,"Lie flat on your back, arms at your sides, close your eyes and relax."
337,Triangle Pose,Vinyasa,Block,Balance,Backbend,Calms the mind,"Lie flat on your back, arms at your sides, close your eyes and relax."
338,Low Lunge,Hatha,None,Upper Body,Standing,Stretches hamstrings,"Lie on back, bend knees, lift hips toward the ceiling."
339,Chair Pose,Restorative,Mat,Strength,Standing,Strengthens arms,"Start on hands and knees, lift hips up, forming an inverted V-shape."
340,Half Pigeon Pose,Vinyasa,None,Core,Inversion,Increases energy,"Start on hands and knees, lift hips up, forming an inverted V-shape."
341,Bridge Pose,Hatha,Strap,Hips,Supine,Strengthens arms,"Start in a push-up position, keep the body in a straight line from head to heels."
342,Mountain Pose,Hatha,Strap,Hips,Inversion,Strengthens arms,"Sit with legs extended, reach forward toward toes, and relax."
343,Chair Pose,Ashtanga,None,Upper Body,Seated,Strengthens arms,"Lie on back, bend knees, lift hips toward the ceiling."
344,Eagle Pose,Vinyasa,Block,Upper Body,Supine,Stretches hamstrings,"Start on hands and knees, lift hips up, forming an inverted V-shape."
345,Low Lunge,Ashtanga,None,Lower Body,Seated,Calms the mind,"Kneel on the mat, arch back, place hands on heels, and lift chest."
346,Downward Facing Dog,Hatha,Mat,Balance,Inversion,Improves posture,"Kneel on the mat, sit back on heels, and stretch arms forward."
347,Cobra Pose,Yin,Mat,Back,Balancing,Strengthens core,"Lie flat on your back, arms at your sides, close your eyes and relax."
348,Triangle Pose,Yin,None,Upper Body,Standing,Calms the mind,"Start in a push-up position, keep the body in a straight line from head to heels."
349,Eagle Pose,Hatha,Block,Core,Supine,Reduces stress,"From a plank position, bring one knee forward and extend the opposite leg back."
350,Camel Pose,Restorative,Bolster,Hips,Supine,Reduces stress,"Stand on one leg, place foot on inner thigh, balance with hands at heart center."
351,Corpse Pose,Vinyasa,Strap,Chest,Balancing,Relieves stress,"Start on hands and knees, lift hips up, forming an inverted V-shape."
352,Half Pigeon Pose,Hatha,Strap,Hips,Backbend,Relieves stress,"Lie flat on your back, arms at your sides, close your eyes and relax."
353,Cobra Pose,Vinyasa,Block,Flexibility,Backbend,Strengthens arms,"Lie flat on your back, arms at your sides, close your eyes and relax."
354,Camel Pose,Vinyasa,Bolster,Chest,Standing,Opens hips,"From a plank position, bring one knee forward and extend the opposite leg back."
355,Cobra Pose,Yin,None,Balance,Balancing,Improves posture,"Lie flat on your back, arms at your sides, close your eyes and relax."
356,Bridge Pose,Vinyasa,Block,Flexibility,Standing,Relieves stress,"Lie on back, bend knees, lift hips toward the ceiling."
357,Crow Pose,Vinyasa,Mat,Strength,Seated,Reduces stress,"Kneel on the mat, sit back on heels, and stretch arms forward."
358,Tree Pose,Ashtanga,Mat,Full Body,Standing,Reduces stress,"Stand on one leg, place foot on inner thigh, balance with hands at heart center."
359,Plank Pose,Vinyasa,None,Flexibility,Standing,Opens hips,"Lie on back, bend knees, lift hips toward the ceiling."
360,Child's Pose,Restorative,Strap,Upper Body,Supine,Relieves stress,"Stand on one leg, place foot on inner thigh, balance with hands at heart center."
361,Eagle Pose,Vinyasa,Bolster,Strength,Supine,Strengthens arms,"Lie on back, bend knees, lift hips toward the ceiling."
362,Child's Pose,Restorative,Mat,Hips,Supine,Opens hips,"Lie on back, bend knees, lift hips toward the ceiling."
363,Corpse Pose,Hatha,None,Balance,Seated,Opens hips,"Kneel on the mat, arch back, place hands on heels, and lift chest."
364,Corpse Pose,Hatha,Strap,Strength,Supine,Relieves stress,"Stand with feet wide apart, bend one knee and extend arms parallel to the floor."
365,Low Lunge,Ashtanga,Bolster,Back,Balancing,Improves balance,"Kneel on the mat, arch back, place hands on heels, and lift chest."
366,Corpse Pose,Restorative,None,Strength,Supine,Stretches hamstrings,"Start on hands and knees, lift hips up, forming an inverted V-shape."
367,Plank Pose,Restorative,Strap,Chest,Backbend,Improves balance,"Stand on one leg, place foot on inner thigh, balance with hands at heart center."
368,Mountain Pose,Yin,Bolster,Chest,Seated,Calms the mind,"Sit with legs extended, reach forward toward toes, and relax."
369,Bridge Pose,Yin,Block,Full Body,Inversion,Strengthens core,"Start on hands and knees, lift hips up, forming an inverted V-shape."
370,Seated Forward Bend,Hatha,Mat,Balance,Seated,Improves balance,"From a plank position, bring one knee forward and extend the opposite leg back."
371,Crow Pose,Ashtanga,None,Strength,Inversion,Improves posture,"Lie flat on your back, arms at your sides, close your eyes and relax."
372,Hero Pose,Ashtanga,Mat,Lower Body,Supine,Strengthens core,"Lie flat on your back, arms at your sides, close your eyes and relax."
373,Child's Pose,Yin,Strap,Chest,Supine,Increases energy,"Stand on one leg, place foot on inner thigh, balance with hands at heart center."
374,Warrior II,Vinyasa,None,Upper Body,Balancing,Increases energy,"Start on hands and knees, lift hips up, forming an inverted V-shape."
375,Cat-Cow Pose,Ashtanga,Block,Flexibility,Supine,Stretches hamstrings,"Kneel on the mat, arch back, place hands on heels, and lift chest."
376,Low Lunge,Yin,Block,Flexibility,Standing,Increases energy,"Sit with legs extended, reach forward toward toes, and relax."
377,Hero Pose,Ashtanga,None,Hips,Backbend,Calms the mind,"Stand with feet wide apart, bend one knee and extend arms parallel to the floor."
378,Cat-Cow Pose,Ashtanga,Strap,Flexibility,Supine,Improves balance,"Kneel on the mat, sit back on heels, and stretch arms forward."
379,Plank Pose,Yin,Mat,Balance,Balancing,Improves balance,"Kneel on the mat, sit back on heels, and stretch arms forward."
380,Camel Pose,Yin,Strap,Flexibility,Inversion,Calms the mind,"Start on hands and knees, lift hips up, forming an inverted V-shape."
381,Half Pigeon Pose,Restorative,None,Upper Body,Supine,Strengthens arms,"Lie on back, bend knees, lift hips toward the ceiling."
382,Camel Pose,Hatha,Bolster,Chest,Balancing,Reduces stress,"Stand with feet wide apart, bend one knee and extend arms parallel to the floor."
383,Eagle Pose,Vinyasa,Mat,Balance,Backbend,Increases energy,"Start in a push-up position, keep the body in a straight line from head to heels."
384,Warrior II,Yin,None,Back,Supine,Increases energy,"Stand on one leg, place foot on inner thigh, balance with hands at heart center."
385,Bow Pose,Ashtanga,None,Upper Body,Supine,Reduces stress,"Kneel on the mat, sit back on heels, and stretch arms forward."
386,Cobra Pose,Vinyasa,Strap,Core,Standing,Improves balance,"Start in a push-up position, keep the body in a straight line from head to heels."
387,Cobra Pose,Hatha,Strap,Balance,Standing,Reduces stress,"Lie on back, bend knees, lift hips toward the ceiling."
388,Bow Pose,Yin,Mat,Chest,Inversion,Opens hips,"From a plank position, bring one knee forward and extend the opposite leg back."
389,Camel Pose,Restorative,None,Back,Supine,Strengthens arms,"Stand on one leg, place foot on inner thigh, balance with hands at heart center."
390,Warrior II,Vinyasa,Block,Flexibility,Inversion,Relieves stress,"Sit with legs extended, reach forward toward toes, and relax."
391,Tree Pose,Hatha,Bolster,Lower Body,Standing,Improves balance,"Kneel on the mat, arch back, place hands on heels, and lift chest."
392,Child's Pose,Restorative,Mat,Balance,Balancing,Opens hips,"Kneel on the mat, sit back on heels, and stretch arms forward."
393,Plank Pose,Hatha,Block,Back,Backbend,Relieves stress,"Kneel on the mat, arch back, place hands on heels, and lift chest."
394,Warrior II,Restorative,Block,Balance,Balancing,Strengthens arms,"Kneel on the mat, sit back on heels, and stretch arms forward."
395,Chair Pose,Vinyasa,None,Core,Standing,Opens hips,"Sit with legs extended, reach forward toward toes, and relax."
396,Crow Pose,Restorative,Block,Full Body,Supine,Calms the mind,"Sit with legs extended, reach forward toward toes, and relax."
397,Seated Forward Bend,Ashtanga,None,Hips,Standing,Improves balance,"From a plank position, bring one knee forward and extend the opposite leg back."
398,Eagle Pose,Vinyasa,Bolster,Upper Body,Balancing,Stretches hamstrings,"Stand with feet wide apart, bend one knee and extend arms parallel to the floor."
399,Bow Pose,Yin,Bolster,Chest,Seated,Relieves stress,"Lie flat on your back, arms at your sides, close your eyes and relax."
400,Corpse Pose,Ashtanga,Block,Flexibility,Supine,Relieves stress,"Kneel on the mat, arch back, place hands on heels, and lift chest."
401,Triangle Pose,Hatha,Bolster,Chest,Inversion,Calms the mind,"Stand with feet wide apart, bend one knee and extend arms parallel to the floor."
402,Warrior II,Ashtanga,Mat,Chest,Balancing,Strengthens arms,"Kneel on the mat, arch back, place hands on heels, and lift chest."
403,Bow Pose,Yin,Bolster,Balance,Balancing,Increases energy,"Kneel on the mat, sit back on heels, and stretch arms forward."
404,Low Lunge,Restorative,Bolster,Chest,Backbend,Reduces stress,"Stand with feet wide apart, bend one knee and extend arms parallel to the floor."
405,Hero Pose,Yin,Strap,Hips,Inversion,Strengthens core,"From a plank position, bring one knee forward and extend the opposite leg back."
406,Seated Forward Bend,Ashtanga,Block,Balance,Inversion,Relieves stress,"Sit with legs extended, reach forward toward toes, and relax."
407,Half Pigeon Pose,Hatha,None,Strength,Standing,Stretches hamstrings,"Lie on back, bend knees, lift hips toward the ceiling."
408,Half Pigeon Pose,Vinyasa,Bolster,Core,Balancing,Strengthens core,"Stand with feet wide apart, bend one knee and extend arms parallel to the floor."
409,Seated Forward Bend,Ashtanga,Mat,Core,Backbend,Relieves stress,"Stand with feet wide apart, bend one knee and extend arms parallel to the floor."
410,Seated Forward Bend,Restorative,Block,Balance,Balancing,Strengthens core,"Stand on one leg, place foot on inner thigh, balance with hands at heart center."
411,Mountain Pose,Vinyasa,Strap,Hips,Seated,Reduces stress,"Stand with feet wide apart, bend one knee and extend arms parallel to the floor."
412,Half Pigeon Pose,Yin,Block,Back,Balancing,Strengthens core,"Lie on back, bend knees, lift hips toward the ceiling."
413,Plank Pose,Ashtanga,Block,Back,Inversion,Relieves stress,"Kneel on the mat, arch back, place hands on heels, and lift chest."
414,Corpse Pose,Vinyasa,Mat,Core,Inversion,Calms the mind,"Start on hands and knees, lift hips up, forming an inverted V-shape."
415,Tree Pose,Hatha,Block,Core,Backbend,Reduces stress,"Lie flat on your back, arms at your sides, close your eyes and relax."
416,Cobra Pose,Restorative,Block,Flexibility,Seated,Improves balance,"Lie flat on your back, arms at your sides, close your eyes and relax."
417,Bridge Pose,Restorative,Mat,Back,Standing,Increases energy,"Lie on back, bend knees, lift hips toward the ceiling."
418,Cat-Cow Pose,Hatha,Block,Strength,Seated,Improves balance,"Kneel on the mat, arch back, place hands on heels, and lift chest."
419,Eagle Pose,Yin,Strap,Balance,Balancing,Calms the mind,"Stand with feet wide apart, bend one knee and extend arms parallel to the floor."
420,Crow Pose,Vinyasa,Mat,Full Body,Backbend,Improves balance,"Start in a push-up position, keep the body in a straight line from head to heels."
421,Eagle Pose,Hatha,Mat,Upper Body,Inversion,Improves posture,"Start on hands and knees, lift hips up, forming an inverted V-shape."
422,Bridge Pose,Yin,Strap,Upper Body,Seated,Strengthens arms,"Stand on one leg, place foot on inner thigh, balance with hands at heart center."
423,Mountain Pose,Yin,Bolster,Back,Standing,Opens hips,"Start in a push-up position, keep the body in a straight line from head to heels."
424,Bridge Pose,Restorative,None,Back,Backbend,Relieves stress,"Sit with legs extended, reach forward toward toes, and relax."
425,Bridge Pose,Ashtanga,Bolster,Balance,Inversion,Opens hips,"Start on hands and knees, lift hips up, forming an inverted V-shape."
426,Triangle Pose,Hatha,Block,Full Body,Inversion,Increases energy,"Start in a push-up position, keep the body in a straight line from head to heels."
427,Plank Pose,Yin,Block,Upper Body,Backbend,Increases energy,"Start in a push-up position, keep the body in a straight line from head to heels."
428,Seated Forward Bend,Hatha,Mat,Upper Body,Backbend,Calms the mind,"Start on hands and knees, lift hips up, forming an inverted V-shape."
429,Downward Facing Dog,Restorative,Strap,Full Body,Inversion,Stretches hamstrings,"Start in a push-up position, keep the body in a straight line from head to heels."
430,Bow Pose,Restorative,Block,Core,Seated,Improves posture,"Start in a push-up position, keep the body in a straight line from head to heels."
431,Triangle Pose,Hatha,None,Balance,Backbend,Stretches hamstrings,"From a plank position, bring one knee forward and extend the opposite leg back."
432,Downward Facing Dog,Ashtanga,None,Upper Body,Balancing,Strengthens arms,"Sit with legs extended, reach forward toward toes, and relax."
433,Cat-Cow Pose,Hatha,Mat,Lower Body,Backbend,Improves posture,"Start in a push-up position, keep the body in a straight line from head to heels."
434,Corpse Pose,Hatha,None,Back,Standing,Relieves stress,"Start on hands and knees, lift hips up, forming an inverted V-shape."
435,Plank Pose,Hatha,None,Strength,Balancing,Reduces stress,"Lie flat on your back, arms at your sides, close your eyes and relax."
436,Crow Pose,Hatha,Strap,Full Body,Supine,Increases energy,"Lie on back, bend knees, lift hips toward the ceiling."
437,Cobra Pose,Hatha,None,Upper Body,Balancing,Stretches hamstrings,"Kneel on the mat, arch back, place hands on heels, and lift chest."
438,Hero Pose,Ashtanga,Bolster,Hips,Backbend,Opens hips,"Stand on one leg, place foot on inner thigh, balance with hands at heart center."
439,Bow Pose,Restorative,Bolster,Strength,Seated,Improves balance,"Start on hands and knees, lift hips up, forming an inverted V-shape."
440,Chair Pose,Yin,Strap,Balance,Supine,Opens hips,"Sit with legs extended, reach forward toward toes, and relax."
441,Camel Pose,Vinyasa,None,Core,Backbend,Improves balance,"From a plank position, bring one knee forward and extend the opposite leg back."
442,Downward Facing Dog,Hatha,Mat,Hips,Seated,Reduces stress,"Kneel on the mat, arch back, place hands on heels, and lift chest."
443,Warrior II,Vinyasa,None,Back,Backbend,Reduces stress,"Lie on back, bend knees, lift hips toward the ceiling."
444,Bridge Pose,Ashtanga,Bolster,Lower Body,Inversion,Reduces stress,"Kneel on the mat, arch back, place hands on heels, and lift chest."
445,Bridge Pose,Restorative,Block,Full Body,Backbend,Increases energy,"Lie flat on your back, arms at your sides, close your eyes and relax."
446,Mountain Pose,Restorative,Strap,Strength,Balancing,Strengthens arms,"Stand with feet wide apart, bend one knee and extend arms parallel to the floor."
447,Corpse Pose,Yin,None,Full Body,Supine,Strengthens core,"Sit with legs extended, reach forward toward toes, and relax."
